/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:38:11,580 - INFO - [16/7120] Synthesizing scientific literature with retrieval-augmented language m...
2026-02-22 12:38:13,903 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:13,904 - INFO - [17/7120] Common genetic variants affect risk of a major cause of pregnancy loss...
2026-02-22 12:38:16,279 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:16,280 - INFO - [18/7120] Machine learning slashes the testing needed to work out battery lifeti...
2026-02-22 12:38:18,222 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:18,223 - INFO - [19/7120] Who does academic consulting serve?...
2026-02-22 12:38:19,944 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:38:19,945 - INFO - [20/7120] Author Correction: Nutrient-sensing nuclear receptors coordinate autop...
2026-02-22 12:38:21,982 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:21,982 - INFO - [21/7120] Integrated structural dynamics uncover a new B12 photoreceptor activat...
2026-02-22 12:38:24,102 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:24,102 - INFO - [22/7120] Large-scale quantum communication networks with integrated photonics...
2026-02-22 12:38:26,390 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:26,391 - INFO - [23/7120] This chunk of glass could store two million books for 10,000 years...
2026-02-22 12:38:28,314 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:28,314 - INFO - [24/7120] Parasitic wasps use tamed virus to castrate caterpillars...
2026-02-22 12:38:30,014 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:38:30,014 - INFO - [25/7120] RYK is a GPNMB receptor that drives MASH...
2026-02-22 12:38:32,012 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:32,012 - INFO - [26/7120] Ten years since the first reported observation of gravitational waves...
2026-02-22 12:38:34,013 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:34,014 - INFO - [27/7120] Low-power integrated optical amplification through second-harmonic res...
2026-02-22 12:38:35,968 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:35,968 - INFO - [28/7120] Briefing Chat: What Brazilian centenarians could reveal about the scie...
2026-02-22 12:38:37,912 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:37,912 - INFO - [29/7120] Volcanic personality: the man who recognized volcanoes as a planet-sha...
2026-02-22 12:38:39,795 - INFO -   ✗ Rejected: No match
2026-02-22 12:38:39,795 - INFO - [30/7120] A way to gauge the equity of ocean-related initiatives...
2026-02-22 12:38:41,764 - INFO -   ✗ Rejected: No match
