/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:41:26,156 - INFO - [19/278] Tube feet dynamics drive adaptation in sea star locomotion...
2026-02-22 12:41:27,882 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:41:27,882 - INFO - [20/278] Measuring bridging forces in protein–DNA condensates...
2026-02-22 12:41:29,607 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:29,607 - INFO - [21/278] mTOR signaling governs the formation of epithelial apical projections ...
2026-02-22 12:41:31,337 - INFO -   ✗ Not in S2 (404 - paper not indexed)
2026-02-22 12:41:31,338 - INFO - [22/278] Future Shoaling of the AMOC and Its Impact on Oceanic Heat Transport t...
2026-02-22 12:41:38,752 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.20) - The paper focuses on the Atlantic Meridional Overt
2026-02-22 12:41:38,752 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:41:38,752 - INFO - [23/278] Davemaoite Elasticity Reveals Slab‐Induced Heterogeneity in the Mantle...
2026-02-22 12:41:40,461 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:40,462 - INFO - [24/278] Low Frequency Oscillation Observed in the Ionosphere Around the Substo...
2026-02-22 12:41:42,228 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:42,229 - INFO - [25/278] Ocean Eddies Lower the Global‐Mean, Maximum Intensity of Tropical Cycl...
2026-02-22 12:41:49,209 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.20) - While the paper deals with a coupled atmosphere-oc
2026-02-22 12:41:49,209 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:41:49,209 - INFO - [26/278] Biological Regulation of Coaxial Calcite‐Aragonite‐Calcite Skeleton Fo...
2026-02-22 12:41:56,259 - INFO -   🤖 Gemini: ❌ NOT RELEVANT (0.90) - The paper focuses on coral biomineralization and t
2026-02-22 12:41:56,259 - INFO -   ✗ Rejected by Gemini LLM
2026-02-22 12:41:56,259 - INFO - [27/278] Constraining the Stratospheric Sulfate Budget in Global Models: Insigh...
2026-02-22 12:41:58,028 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:58,029 - INFO - [28/278] Multipoint Observations of a SLAMS Evolution and Its Merger With Whist...
2026-02-22 12:41:59,780 - INFO -   ✗ Rejected: No match
2026-02-22 12:41:59,781 - INFO - [29/278] Earth System Predictability Across Time Scales for a Resilient Society...
